"Genus","Species"
"Fusarium",11
"Colletotrichum",10
"Streptococcus",9
"Vibrio",8
"Burkholderia",7
"Pseudomonas",7
"Xanthomonas",7
"Alternaria",5
"Bipolaris",5
"Candida",5
"Cercospora",5
"Mycobacterium",5
"Phytophthora",5
"Staphylococcus",4
"Yersinia",4
"Aspergillus",3
"Brucella",3
"Chlamydia",3
"Leishmania",3
"Metarhizium",3
"Pectobacterium",3
"Acinetobacter",2
"Aeromonas",2
"Agrobacterium",2
"Bacillus",2
"Bordetella",2
"Borrelia",2
"Botrytis",2
"Ceratocystis",2
"Coccidioides",2
"Cronobacter",2
"Cryptococcus",2
"Dickeya",2
"Edwardsiella",2
"Enterococcus",2
"Globodera",2
"Haemophilus",2
"Melampsora",2
"Mycoplasma",2
"Neisseria",2
"Pantoea",2
"Penicillium",2
"Plasmodium",2
"Pseudocercospora",2
"Puccinia",2
"Pyrenophora",2
"Ralstonia",2
"Streptomyces",2
"Trichophyton",2
"Trypanosoma",2
"Ustilago",2
"Verticillium",2
"Actinobacillus",1
"Arthrobotrys",1
"Ascochyta",1
"Avibacterium",1
"Beauveria",1
"Blastomyces",1
"Blumeria",1
"Bremia",1
"Bursaphelenchus",1
"Campylobacter",1
"Citrobacter",1
"Clavibacter",1
"Claviceps",1
"Clavispora",1
"Clostridioides",1
"Clostridium",1
"Corynebacterium",1
"Coxiella",1
"Cryphonectria",1
"Curvularia",1
"Cystobacter",1
"Dothistroma",1
"Epichloe",1
"Erwinia",1
"Escherichia",1
"Exophiala",1
"Flavobacterium",1
"Francisella",1
"Gaeumannomyces",1
"Glaesserella",1
"Gloeocercospora",1
"Grosmannia",1
"Helicobacter",1
"Heterobasidion",1
"Heterodera",1
"Histoplasma",1
"Hyaloperonospora",1
"Kingella",1
"Klebsiella",1
"Lactococcus",1
"Lecanicillium",1
"Legionella",1
"Leptosphaeria",1
"Leptospira",1
"Listeria",1
"Lonsdalea",1
"Macrosiphum",1
"Magnaporthe",1
"Meloidogyne",1
"Monilinia",1
"Moniliophthora",1
"Muricauda",1
"Myzus",1
"Nectria",1
"Paenibacillus",1
"Paracoccidioides",1
"Parastagonospora",1
"Passalora",1
"Pathogen",1
"Photobacterium",1
"Photorhabdus",1
"Porphyromonas",1
"Proteus",1
"Pseudopyrenochaeta",1
"Pyrenopeziza",1
"Pythium",1
"Radopholus",1
"Rhizopus",1
"Rhynchosporium",1
"Riemerella",1
"Rosellinia",1
"Saccharomyces",1
"Salmonella",1
"Sclerotinia",1
"Septoria",1
"Serratia",1
"Setosphaeria",1
"Shigella",1
"Stenotrophomonas",1
"Toxoplasma",1
"Treponema",1
"Trichoderma",1
"Ustilaginoidea",1
"Venturia",1
"Xenorhabdus",1
"Xylella",1
"Zymoseptoria",1
